split,name,species_slug,genus,species,id,filename,relative_wav_path,source_url,license,recordist,date,sound_type
test,American Robin,american_robin,Turdus,migratorius,70119,70119-0.wav,wavfiles/70119-0.wav,//www.xeno-canto.org/70119,//creativecommons.org/licenses/by-nc-nd/2.5/,Paul Driver,2010-07-13,dawn song
test,American Robin,american_robin,Turdus,migratorius,70119,70119-1.wav,wavfiles/70119-1.wav,//www.xeno-canto.org/70119,//creativecommons.org/licenses/by-nc-nd/2.5/,Paul Driver,2010-07-13,dawn song
test,American Robin,american_robin,Turdus,migratorius,70119,70119-10.wav,wavfiles/70119-10.wav,//www.xeno-canto.org/70119,//creativecommons.org/licenses/by-nc-nd/2.5/,Paul Driver,2010-07-13,dawn song
test,American Robin,american_robin,Turdus,migratorius,70119,70119-11.wav,wavfiles/70119-11.wav,//www.xeno-canto.org/70119,//creativecommons.org/licenses/by-nc-nd/2.5/,Paul Driver,2010-07-13,dawn song
test,American Robin,american_robin,Turdus,migratorius,70119,70119-12.wav,wavfiles/70119-12.wav,//www.xeno-canto.org/70119,//creativecommons.org/licenses/by-nc-nd/2.5/,Paul Driver,2010-07-13,dawn song
test,American Robin,american_robin,Turdus,migratorius,70119,70119-2.wav,wavfiles/70119-2.wav,//www.xeno-canto.org/70119,//creativecommons.org/licenses/by-nc-nd/2.5/,Paul Driver,2010-07-13,dawn song
test,American Robin,american_robin,Turdus,migratorius,70119,70119-3.wav,wavfiles/70119-3.wav,//www.xeno-canto.org/70119,//creativecommons.org/licenses/by-nc-nd/2.5/,Paul Driver,2010-07-13,dawn song
test,American Robin,american_robin,Turdus,migratorius,70119,70119-4.wav,wavfiles/70119-4.wav,//www.xeno-canto.org/70119,//creativecommons.org/licenses/by-nc-nd/2.5/,Paul Driver,2010-07-13,dawn song
test,American Robin,american_robin,Turdus,migratorius,70119,70119-5.wav,wavfiles/70119-5.wav,//www.xeno-canto.org/70119,//creativecommons.org/licenses/by-nc-nd/2.5/,Paul Driver,2010-07-13,dawn song
test,American Robin,american_robin,Turdus,migratorius,70119,70119-6.wav,wavfiles/70119-6.wav,//www.xeno-canto.org/70119,//creativecommons.org/licenses/by-nc-nd/2.5/,Paul Driver,2010-07-13,dawn song
test,American Robin,american_robin,Turdus,migratorius,70119,70119-7.wav,wavfiles/70119-7.wav,//www.xeno-canto.org/70119,//creativecommons.org/licenses/by-nc-nd/2.5/,Paul Driver,2010-07-13,dawn song
test,American Robin,american_robin,Turdus,migratorius,70119,70119-8.wav,wavfiles/70119-8.wav,//www.xeno-canto.org/70119,//creativecommons.org/licenses/by-nc-nd/2.5/,Paul Driver,2010-07-13,dawn song
